REId,name_short,E2_2in,E1_1in,phi_input
REL00184,Södra Hallands Kraft,0.76171992,0.72354038,-0.03817954000000001
REL00185,Sölvesborg Energi,0.8075668,0.79947064,-0.008096160000000019
REL00186,Telge Nät,1.0,0.99673209,-0.0032679100000000405
REL00187,Tibro Elnät,0.88117809,0.87468664,-0.006491450000000065
REL00191,Trollhättan Energi,1.0,1.0,0.0
REL00193,Töre Energi,0.75706454,0.75682245,-0.0002420899999999726
REL00195,Uddevalla Energi,0.9256271,0.92271552,-0.0029115800000000247
REL00201,Vallebygdens Energi,0.9953918,0.88075667,-0.11463513000000003
REL00203,Vara Energi,0.86052406,0.84237807,-0.018145990000000056
REL00204,Varberg Energi,0.86708905,0.86363367,-0.003455380000000008
REL00205,Varbergsortens Elkraft,0.70789082,0.69162549,-0.016265330000000078
REL00235,Värnamo Elnät,0.91406504,0.91394497,-0.00012007000000002765
REL00239,Västerviks Elnät,0.93622963,0.93181856,-0.004411070000000072
REL00242,Västra Orust Energi,0.73436724,0.72592336,-0.00844387999999996
REL00243,Växjö Energi,0.82711292,0.82489394,-0.0022189799999999815
REL00244,Ystad Energi,0.7852929,0.78718707,0.0018941700000000283
REL00246,Ålem Energi,0.72860971,0.71352995,-0.015079759999999998
REL00249,Årsunda Kraft,0.85188623,0.79924067,-0.05264555999999998
REL00255,Östra Kinds Elkraft,1.0,1.0,0.0
REL00257,Övik Energi,,,
REL00267,Mälarenergi,0.87535932,0.85651881,-0.018840510000000088
REL00332,Tidaholms Elnät,0.68398275,0.67782488,-0.00615787000000001
REL00364,Österlens Kraft,0.80173024,0.80016531,-0.00156493000000002
REL00570,Västerbergslagens Elnät,0.94272518,1.0,0.05727481999999995
REL00576,Härjeåns,0.81978481,0.91714833,0.09736351999999993
REL00584,Umeå Energi,0.80005606,0.73880649,-0.061249569999999975
REL00585,Götene Elförening,0.92427962,0.92390215,-0.00037746999999999087
REL00590,LKAB Nät,0.70715925,0.77121513,0.06405587999999995
REL00594,VänerEnergi,0.83682759,0.83277951,-0.0040480800000000094
REL00824,Skellefteå Kraft,1.0,1.0,0.0
REL00885,Gävle Energi,0.90079423,0.89457287,-0.006221360000000065
REL00886,Kraftringen,0.7935473,0.78255153,-0.01099576999999996
REL00899,Kvänumbygdens Energi,1.0,1.0,0.0
REL00904,Öresundskraft,0.8432181,0.8401326,-0.0030854999999999633
REL00936,Njudung Vetlanda,0.90223565,0.86792055,-0.03431509999999993
REL00937,Tranås Energi,0.72484214,0.70924611,-0.015596029999999983
REL00938,Hedemora Elnät,0.70571299,0.65673916,-0.048973829999999996
REL00944,Linde Energi,0.99285316,0.97795858,-0.01489457999999999
REL00945,Gotlands Elnät,0.80750987,0.7371884,-0.07032147
REL00958,Vimmerby Energi,0.76479539,0.76283231,-0.001963080000000006
REL00959,Åsele Elnät,1.0,0.94127234,-0.05872765999999996
REL00965,Sörbylunds Elnät,,,
REL01010,Sandviken Energi,0.79430945,0.7825944,-0.011715049999999949
REL01012,Brittedals Elnät,0.76615878,0.73617991,-0.02997886999999999
REL03009,Dala Energi,0.78311845,0.76022507,-0.022893380000000074
REL03015,Falu Elnät,0.79974798,0.73067811,-0.06906986999999998
REL03016,Vaggeryds Elverk,1.0,1.0,0.0
REL03019,Trelleborgs Elnät,0.70374277,0.71188881,0.008146040000000077
REL03028,E.ON,1.0,0.93811898,-0.06188101999999995
REL03030,Vattenfall,0.94444039,0.86619524,-0.07824514999999999
REL03035,Ellevio,0.98089851,0.91915218,-0.06174632999999996
REL03038,Lidköping Elnät,0.96229224,0.91793806,-0.04435418000000002
REL03041,Hjo Elnät,0.82487849,0.82912672,0.004248229999999964
REL03042,Skara Elnät,1.0,1.0,0.0
REL03043,Karlsborgs Elnät,0.77882507,0.77858782,-0.00023724999999996665
REL03044,Ulricehamn Energi,0.82182664,0.78377049,-0.038056150000000066
REL03047,Karlshamn Elnät,0.96408022,0.96002403,-0.004056190000000015
REL03049,Alingsås Energi,0.75465443,0.75528769,0.0006332599999999688
REL03050,Näckåns Elnät (Viggafors),1.0,1.0,0.0
